# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	1.337741e-02	1.247259e-03	5.855294e-04
119           	1.315081e-02	1.225310e-03	5.747425e-04
120           	1.294890e-02	1.207288e-03	5.619972e-04
121           	1.262380e-02	1.188595e-03	5.530242e-04
122           	1.285121e-02	1.170059e-03	5.448715e-04
123           	1.245038e-02	1.147421e-03	5.321909e-04
124           	1.221700e-02	1.128649e-03	5.222086e-04
125           	1.178085e-02	1.112179e-03	5.106209e-04
126           	1.145240e-02	1.095306e-03	5.012621e-04
127           	1.136092e-02	1.077595e-03	4.906801e-04
128           	1.088442e-02	1.060551e-03	4.779895e-04
129           	1.067039e-02	1.044559e-03	4.675468e-04
130           	1.034245e-02	1.032276e-03	4.518286e-04
131           	9.960553e-03	1.017621e-03	4.412020e-04
132           	9.973896e-03	1.001841e-03	4.297813e-04
133           	9.468558e-03	9.854510e-04	4.160338e-04
134           	9.421560e-03	9.684716e-04	4.078406e-04
135           	9.161949e-03	9.524235e-04	3.961405e-04
136           	8.721333e-03	9.393826e-04	3.835976e-04
137           	8.628698e-03	9.258272e-04	3.698646e-04
138           	8.269584e-03	9.107141e-04	3.580384e-04
139           	8.068611e-03	8.940287e-04	3.478649e-04
140           	8.101583e-03	8.782053e-04	3.382973e-04
141           	7.575812e-03	8.614363e-04	3.276370e-04
142           	7.227072e-03	8.452486e-04	3.158593e-04
143           	6.907844e-03	8.308849e-04	3.061539e-04
144           	6.570410e-03	8.123728e-04	3.004381e-04
145           	6.589301e-03	7.943100e-04	2.939035e-04
146           	6.532470e-03	7.773295e-04	2.843553e-04
147           	6.291542e-03	7.608702e-04	2.749011e-04
148           	5.972164e-03	7.442869e-04	2.673308e-04
149           	5.740617e-03	7.270199e-04	2.604324e-04
150           	5.517308e-03	7.095653e-04	2.539532e-04
151           	5.275895e-03	6.924920e-04	2.485503e-04
152           	4.998745e-03	6.758428e-04	2.442867e-04
153           	4.892649e-03	6.598744e-04	2.387562e-04
154           	4.771744e-03	6.444404e-04	2.327090e-04
155           	4.513410e-03	6.295763e-04	2.279848e-04
156           	4.294579e-03	6.145410e-04	2.241316e-04
157           	4.174350e-03	5.988238e-04	2.198842e-04
158           	3.957194e-03	5.839367e-04	2.162381e-04
159           	3.793684e-03	5.702463e-04	2.127512e-04
160           	3.703851e-03	5.564537e-04	2.080888e-04
161           	3.535615e-03	5.435524e-04	2.042481e-04
162           	3.404044e-03	5.304742e-04	2.017116e-04
163           	3.304443e-03	5.174940e-04	1.990857e-04
164           	3.228169e-03	5.050119e-04	1.960874e-04
165           	3.137771e-03	4.935470e-04	1.930954e-04
166           	3.078349e-03	4.823462e-04	1.899714e-04
167           	3.018860e-03	4.712733e-04	1.866873e-04
168           	2.934999e-03	4.605391e-04	1.843488e-04
169           	2.876894e-03	4.499221e-04	1.822519e-04
170           	2.825629e-03	4.394254e-04	1.799616e-04
171           	2.772640e-03	4.295590e-04	1.777055e-04
172           	2.724857e-03	4.200961e-04	1.755016e-04
173           	2.691881e-03	4.107217e-04	1.733240e-04
174           	2.648952e-03	4.015770e-04	1.712614e-04
175           	2.611437e-03	3.926179e-04	1.691183e-04
176           	2.583208e-03	3.838616e-04	1.666953e-04
177           	2.551133e-03	3.753759e-04	1.642371e-04
